date,rainfall,site,year,month,tasmax,tasmin
2015-03-16,97.04662372110228,Hazelrigg,2015,3,8.902834239282706,2.6696942419524707
2015-03-16,68.56514642891422,Ainsdale,2015,3,9.272606762017995,3.2642106691913484
2015-04-16,24.370419160539413,Wytham,2015,4,14.998523249828963,4.266326227636629
2015-04-16,46.14979164238136,Hazelrigg,2015,4,12.196723587847865,3.8790955520249764
2015-04-16,34.94254090759329,Ainsdale,2015,4,12.721626888761785,4.7359958617289255
2015-05-16,58.11114395361003,Wytham,2015,5,15.771173439475888,7.269990551063166
2015-05-16,125.22164291955433,Hazelrigg,2015,5,12.715378201945505,7.016494853596268
2015-05-16,88.9707436107255,Ainsdale,2015,5,13.43558524938133,8.173023463206723
2015-06-16,30.850447835544706,Wytham,2015,6,20.080828389226475,9.627660552630012
2015-06-16,47.41995725473275,Hazelrigg,2015,6,16.99325779265064,9.521134518090992
2015-06-16,31.54207844626329,Ainsdale,2015,6,17.617969776673657,10.483165100306291
2015-07-16,60.6565745300359,Wytham,2015,7,21.626822622869213,11.881796405177191
2015-07-16,90.96184473659393,Hazelrigg,2015,7,18.059335842683705,11.589270923855668
2015-07-16,90.51608208062214,Ainsdale,2015,7,18.68121680813887,12.411110741852658
2015-08-16,61.21739646324424,Wytham,2015,8,20.46316442184569,12.376592903089058
2015-08-16,81.95733366331211,Hazelrigg,2015,8,18.667064189000246,11.841610197084304
2015-08-16,62.501440819699575,Ainsdale,2015,8,19.26751124443323,12.665495875814674
2015-09-16,43.65945978063525,Wytham,2015,9,17.52749574614427,8.44571569627154
2015-09-16,38.170962023981446,Hazelrigg,2015,9,16.20874363806511,8.805845855555459
2015-09-16,44.40890917712727,Ainsdale,2015,9,16.930514579546518,9.30336720264704
2015-10-16,55.72736103593935,Wytham,2015,10,14.508921792821491,7.587424481651983
2015-10-16,66.79355064052086,Hazelrigg,2015,10,13.99224732170586,7.514265648107432
2015-10-16,52.77319329835653,Ainsdale,2015,10,14.740259929920365,7.856055039354052
2015-11-16,80.43277606094819,Wytham,2015,11,12.391680005016541,6.9839520432509286
2015-11-16,261.1893607018993,Hazelrigg,2015,11,11.566463734186502,6.5381562276176926
2015-11-16,147.43662938103498,Ainsdale,2015,11,12.371366382630537,7.660540196551952
2015-12-16,72.97504234217963,Wytham,2015,12,12.605677299845137,7.9564698565558505
2015-12-16,326.55964776218,Hazelrigg,2015,12,11.502129368127203,6.093699811650676
