date,site,rainfall,tasmax,tasmin,tasmax_adj,tasmin_adj,Tmean,GDD,cumGDD
2025-01-01,Hazelrigg,0.510742188,7.621337891,5.961425781,7.621337891,5.961425781,6.791381835999999,2.7913818359999993,2.7913818359999993
2025-01-02,Hazelrigg,1.299316406,3.873291016,-2.0859375,3.873291016,4,3.936645508,0,2.7913818359999993
2025-01-03,Hazelrigg,4.735839844,5.697265625,-2.098876953,5.697265625,4,4.8486328125,0.8486328125,3.6400146484999993
2025-01-04,Hazelrigg,4.154052734,3.213378906,1.692626953,3.213378906,4,3.606689453,0,3.6400146484999993
2025-01-05,Hazelrigg,18.27368164,3.167480469,0.026123047,3.167480469,4,3.5837402345,0,3.6400146484999993
2025-01-06,Hazelrigg,1.576660156,4.775390625,1.270751953,4.775390625,4,4.3876953125,0.3876953125,4.027709960999999
2025-01-07,Hazelrigg,1.378417969,3.757324219,-0.907958984,3.757324219,4,3.8786621095,0,4.027709960999999
2025-01-08,Hazelrigg,0.011962891,-0.313232422,-2.922851563,-0.313232422,4,1.843383789,0,4.027709960999999
2025-01-09,Hazelrigg,0.341308594,2.584716797,-5.802978516,2.584716797,4,3.2923583985000002,0,4.027709960999999
2025-01-10,Hazelrigg,0.103759766,2.300292969,-6.206298828,2.300292969,4,3.1501464845,0,4.027709960999999
2025-01-11,Hazelrigg,0.413330078,2.556396484,-5.697265625,2.556396484,4,3.278198242,0,4.027709960999999
2025-01-12,Hazelrigg,0.426269531,5.798828125,-3.052001953,5.798828125,4,4.8994140625,0.8994140625,4.927124023499999
2025-01-13,Hazelrigg,14.65356445,8.814941406,1.547363281,8.814941406,4,6.407470703,2.4074707030000004,7.3345947265
2025-01-14,Hazelrigg,3.089599609,9.111328125,4.561279297,9.111328125,4.561279297,6.836303710999999,2.8363037109999993,10.1708984375
2025-01-15,Hazelrigg,9.77e-4,9.505859375,6.840576172,9.505859375,6.840576172,8.1732177735,4.173217773499999,14.344116211
2025-01-16,Hazelrigg,0.001953125,10.37158203,0.810302734,10.37158203,4,7.185791015,3.1857910150000004,17.529907226
2025-01-17,Hazelrigg,0,7.842041016,3.08203125,7.842041016,4,5.921020508,1.9210205079999998,19.450927733999997
2025-01-18,Hazelrigg,0,4.689453125,2.381103516,4.689453125,4,4.3447265625,0.3447265625,19.795654296499997
2025-01-19,Hazelrigg,0.001220703,3.276855469,-1.149902344,3.276855469,4,3.6384277345,0,19.795654296499997
2025-01-20,Hazelrigg,7.210693359,5.826171875,-1.186523438,5.826171875,4,4.9130859375,0.9130859375,20.708740233999997
2025-01-21,Hazelrigg,6.490478516,5.587890625,2.506591797,5.587890625,4,4.7939453125,0.7939453125,21.502685546499997
2025-01-22,Hazelrigg,0.809082031,5.097900391,2.773681641,5.097900391,4,4.5489501955,0.5489501954999998,22.051635742
2025-01-23,Hazelrigg,12.03686523,9.371337891,2.832275391,9.371337891,4,6.6856689455,2.6856689455,24.7373046875
2025-01-24,Hazelrigg,0.091308594,8.11328125,3.558349609,8.11328125,4,6.056640625,2.056640625,26.7939453125
2025-01-25,Hazelrigg,0.726806641,6.402832031,3.388427734,6.402832031,4,5.2014160154999995,1.2014160154999995,27.995361327999998
2025-01-26,Hazelrigg,11.49560547,7.152832031,1.939208984,7.152832031,4,5.5764160154999995,1.5764160154999995,29.571777343499996
2025-01-27,Hazelrigg,2.527832031,7.995605469,3.099121094,7.995605469,4,5.9978027345000005,1.9978027345000005,31.569580077999998
2025-01-28,Hazelrigg,0.099609375,8.186279297,3.818847656,8.186279297,4,6.0931396485,2.0931396485000002,33.6627197265
2025-01-29,Hazelrigg,0,7.14453125,3.450927734,7.14453125,4,5.572265625,1.572265625,35.2349853515
2025-01-30,Hazelrigg,2.718505859,6.603515625,0.385498047,6.603515625,4,5.3017578125,1.3017578125,36.536743164
2025-01-31,Hazelrigg,0.001708984,7.503173828,2.370361328,7.503173828,4,5.751586914000001,1.7515869140000007,38.288330078
2025-02-01,Hazelrigg,0,7.008300781,3.391845703,7.008300781,4,5.5041503904999995,1.5041503904999995,39.792480468499996
2025-02-02,Hazelrigg,1.116699219,6.622558594,3.361328125,6.622558594,4,5.3112792970000005,1.3112792970000005,41.1037597655
2025-02-03,Hazelrigg,0.203857422,9.646240234,4.408935547,9.646240234,4.408935547,7.0275878904999995,3.0275878904999995,44.131347655999996
2025-02-04,Hazelrigg,6.922607422,8.468994141,5.899169922,8.468994141,5.899169922,7.184082031499999,3.184082031499999,47.3154296875
2025-02-05,Hazelrigg,0.200927734,8.033203125,3.8359375,8.033203125,4,6.0166015625,2.0166015625,49.33203125
2025-02-06,Hazelrigg,0.002197266,8.3359375,-1.620849609,8.3359375,4,6.16796875,2.16796875,51.5
2025-02-07,Hazelrigg,0.00390625,5.653320313,0.737304688,5.653320313,4,4.8266601565,0.8266601565,52.3266601565
2025-02-08,Hazelrigg,0.004638672,6.01953125,1.882568359,6.01953125,4,5.009765625,1.009765625,53.3364257815
2025-02-09,Hazelrigg,4.88e-4,6.943603516,2.851806641,6.943603516,4,5.471801758,1.4718017579999998,54.808227539499995
