date,site,rainfall,tasmin,tasmax
2025-01-01,Ainsdale,1.7156529017857145,6.547572544642857,7.961690848214285
2025-01-01,Hazelrigg,0.5107421875,5.96142578125,7.621337890625
2025-01-01,Wytham,9.162109375,8.4072265625,11.095703125
2025-01-02,Ainsdale,0.22564174107142856,-1.8242466517857143,5.353822544642857
2025-01-02,Hazelrigg,1.29931640625,-2.0859375,3.873291015625
2025-01-02,Wytham,0.0576171875,-1.0107421875,3.2080078125
2025-01-03,Ainsdale,3.1076171874999994,-1.423911830357143,6.5505859375
2025-01-03,Hazelrigg,4.73583984375,-2.098876953125,5.697265625
2025-01-03,Wytham,0.0078125,-3.0068359375,4.3291015625
2025-01-04,Ainsdale,3.5840680803571425,2.829575892857143,3.653627232142857
2025-01-04,Hazelrigg,4.154052734375,1.692626953125,3.21337890625
2025-01-04,Wytham,14.533203125,-2.2236328125,4.126953125
2025-01-05,Ainsdale,32.57318638392857,0.7366350446428571,3.4658761160714286
2025-01-05,Hazelrigg,18.273681640625,0.026123046875,3.16748046875
2025-01-05,Wytham,12.263671875,-0.408203125,12.3818359375
2025-01-06,Ainsdale,3.481780133928572,1.1230189732142857,5.846902901785715
2025-01-06,Hazelrigg,1.57666015625,1.270751953125,4.775390625
2025-01-06,Wytham,1.7607421875,1.224609375,4.9501953125
2025-01-07,Ainsdale,2.4080915178571427,0.7354631696428571,4.897154017857143
2025-01-07,Hazelrigg,1.37841796875,-0.907958984375,3.75732421875
2025-01-07,Wytham,0.2275390625,-0.3798828125,4.591796875
2025-01-08,Ainsdale,0.2727120535714286,-0.5738839285714289,1.7851283482142857
2025-01-08,Hazelrigg,0.011962890625,-2.9228515625,-0.313232421875
2025-01-08,Wytham,0.0087890625,-1.69140625,1.21484375
2025-01-09,Ainsdale,0.6409040178571429,-4.949358258928571,4.498074776785714
2025-01-09,Hazelrigg,0.34130859375,-5.802978515625,2.584716796875
2025-01-09,Wytham,0.00390625,-2.935546875,3.205078125
2025-01-10,Ainsdale,0.14344308035714287,-5.1146484375,2.950864955357143
2025-01-10,Hazelrigg,0.103759765625,-6.206298828125,2.30029296875
2025-01-10,Wytham,0.001953125,-4.7666015625,-0.5380859375
2025-01-11,Ainsdale,0.78515625,-3.857979910714286,3.1296316964285715
2025-01-11,Hazelrigg,0.413330078125,-5.697265625,2.556396484375
2025-01-11,Wytham,0.1103515625,-5.51953125,1.1064453125
2025-01-12,Ainsdale,0.04732142857142857,-1.206138392857143,6.110630580357143
2025-01-12,Hazelrigg,0.42626953125,-3.052001953125,5.798828125
2025-01-12,Wytham,0.1181640625,-4.27734375,3.5732421875
2025-01-13,Ainsdale,1.8190569196428568,1.633677455357143,9.0615234375
2025-01-13,Hazelrigg,14.653564453125,1.54736328125,8.81494140625
2025-01-13,Wytham,0.0537109375,0.6259765625,5.6259765625
2025-01-14,Ainsdale,0.6297154017857144,5.5255859375,9.625753348214284
2025-01-14,Hazelrigg,3.089599609375,4.561279296875,9.111328125
2025-01-14,Wytham,0.1220703125,1.908203125,10.1220703125
2025-01-15,Ainsdale,0.21219308035714285,5.741880580357143,10.487946428571428
2025-01-15,Hazelrigg,9.765625e-4,6.840576171875,9.505859375
2025-01-15,Wytham,0.1689453125,5.8544921875,9.5634765625
2025-01-16,Ainsdale,0.09294084821428572,0.3988560267857142,9.903878348214286
2025-01-16,Hazelrigg,0.001953125,0.810302734375,10.37158203125
2025-01-16,Wytham,9.765625e-4,1.5615234375,6.005859375
2025-01-17,Ainsdale,0.0103515625,1.533956473214286,9.263699776785714
2025-01-17,Hazelrigg,0,3.08203125,7.842041015625
2025-01-17,Wytham,0,1.7578125,5.9970703125
2025-01-18,Ainsdale,0.00119977678571428,2.746847098214286,4.190652901785715
2025-01-18,Hazelrigg,0,2.381103515625,4.689453125
2025-01-18,Wytham,0.103515625,-0.060546875,0.74609375
2025-01-19,Ainsdale,0.35147879464285714,0.3090680803571428,3.926088169642857
2025-01-19,Hazelrigg,0.001220703125,-1.14990234375,3.27685546875
2025-01-19,Wytham,0.009765625,-0.654296875,2.208984375
2025-01-20,Ainsdale,4.5847098214285715,0.5039341517857143,6.332366071428571
2025-01-20,Hazelrigg,7.210693359375,-1.1865234375,5.826171875
2025-01-20,Wytham,0.005859375,1.287109375,5.3046875
2025-01-21,Ainsdale,2.8853236607142856,3.6138113839285713,6.512555803571429
2025-01-21,Hazelrigg,6.490478515625,2.506591796875,5.587890625
2025-01-21,Wytham,0.0107421875,-0.6865234375,5.677734375
2025-01-22,Ainsdale,1.2104631696428572,1.8709263392857145,5.7655412946428575
2025-01-22,Hazelrigg,0.80908203125,2.773681640625,5.097900390625
2025-01-22,Wytham,0.333984375,0.0556640625,4.642578125
2025-01-23,Ainsdale,6.561188616071429,2.361049107142857,10.217410714285714
2025-01-23,Hazelrigg,12.036865234375,2.832275390625,9.371337890625
2025-01-23,Wytham,8.1689453125,0.1142578125,10.0146484375
2025-01-24,Ainsdale,0.5082031250000001,4.548381696428572,8.547154017857142
2025-01-24,Hazelrigg,0.09130859375,3.558349609375,8.11328125
2025-01-24,Wytham,1.376953125,3.375,9.9072265625
2025-01-25,Ainsdale,2.027176339285714,3.8193638392857143,7.361188616071429
2025-01-25,Hazelrigg,0.726806640625,3.388427734375,6.40283203125
2025-01-25,Wytham,0.0693359375,0.0166015625,6.859375
2025-01-26,Ainsdale,6.259486607142857,2.013671875,7.3186104910714285
2025-01-26,Hazelrigg,11.49560546875,1.939208984375,7.15283203125
2025-01-26,Wytham,21.3818359375,0.8076171875,8.13671875
