date,site,rainfall,tasmax,tasmin,tasmax_adj,tasmin_adj,Tmean,GDD,cumGDD
2025-01-01,Wytham,9.162109375,11.09570313,8.407226563,11.09570313,8.407226563,9.7514648465,5.751464846499999,5.751464846499999
2025-01-02,Wytham,0.057617188,3.208007813,-1.010742188,3.208007813,4,3.6040039065,0,5.751464846499999
2025-01-03,Wytham,0.0078125,4.329101563,-3.006835938,4.329101563,4,4.1645507815,0.16455078150000002,5.916015627999999
2025-01-04,Wytham,14.53320313,4.126953125,-2.223632813,4.126953125,4,4.0634765625,0.0634765625,5.979492190499999
2025-01-05,Wytham,12.26367188,12.38183594,-0.408203125,12.38183594,4,8.190917970000001,4.190917970000001,10.170410160500001
2025-01-06,Wytham,1.760742188,4.950195313,1.224609375,4.950195313,4,4.4750976565,0.4750976565,10.645507817
2025-01-07,Wytham,0.227539063,4.591796875,-0.379882813,4.591796875,4,4.2958984375,0.2958984375,10.9414062545
2025-01-08,Wytham,0.008789063,1.21484375,-1.69140625,1.21484375,4,2.607421875,0,10.9414062545
2025-01-09,Wytham,0.00390625,3.205078125,-2.935546875,3.205078125,4,3.6025390625,0,10.9414062545
2025-01-10,Wytham,0.001953125,-0.538085938,-4.766601563,-0.538085938,4,1.730957031,0,10.9414062545
2025-01-11,Wytham,0.110351563,1.106445313,-5.51953125,1.106445313,4,2.5532226565,0,10.9414062545
2025-01-12,Wytham,0.118164063,3.573242188,-4.27734375,3.573242188,4,3.786621094,0,10.9414062545
2025-01-13,Wytham,0.053710938,5.625976563,0.625976563,5.625976563,4,4.8129882815,0.8129882815,11.754394536
2025-01-14,Wytham,0.122070313,10.12207031,1.908203125,10.12207031,4,7.061035155,3.061035155,14.815429691
2025-01-15,Wytham,0.168945313,9.563476563,5.854492188,9.563476563,5.854492188,7.7089843755,3.7089843755,18.5244140665
2025-01-16,Wytham,9.77e-4,6.005859375,1.561523438,6.005859375,4,5.0029296875,1.0029296875,19.527343754
2025-01-17,Wytham,0,5.997070313,1.7578125,5.997070313,4,4.9985351565,0.9985351565,20.5258789105
2025-01-18,Wytham,0.103515625,0.74609375,-0.060546875,0.74609375,4,2.373046875,0,20.5258789105
2025-01-19,Wytham,0.009765625,2.208984375,-0.654296875,2.208984375,4,3.1044921875,0,20.5258789105
2025-01-20,Wytham,0.005859375,5.3046875,1.287109375,5.3046875,4,4.65234375,0.65234375,21.1782226605
2025-01-21,Wytham,0.010742188,5.677734375,-0.686523438,5.677734375,4,4.8388671875,0.8388671875,22.017089848
2025-01-22,Wytham,0.333984375,4.642578125,0.055664063,4.642578125,4,4.3212890625,0.3212890625,22.3383789105
2025-01-23,Wytham,8.168945313,10.01464844,0.114257813,10.01464844,4,7.00732422,3.00732422,25.3457031305
2025-01-24,Wytham,1.376953125,9.907226563,3.375,9.907226563,4,6.9536132815,2.9536132815,28.299316412
2025-01-25,Wytham,0.069335938,6.859375,0.016601563,6.859375,4,5.4296875,1.4296875,29.729003912
2025-01-26,Wytham,21.38183594,8.13671875,0.807617188,8.13671875,4,6.068359375,2.068359375,31.797363287
2025-01-27,Wytham,5.802734375,8.276367188,4.202148438,8.276367188,4.202148438,6.239257813,2.239257813,34.0366211
