date,site,tasmax
2025-02-14,Wytham,4.9716796875
2025-02-15,Ainsdale,4.851729910714286
2025-02-15,Hazelrigg,3.625
2025-02-15,Wytham,4.8662109375
2025-02-16,Ainsdale,5.4169084821428575
2025-02-16,Hazelrigg,5.15673828125
2025-02-16,Wytham,3.5498046875
2025-02-17,Ainsdale,5.621512276785714
2025-02-17,Hazelrigg,4.678955078125
2025-02-17,Wytham,5.4912109375
2025-02-18,Ainsdale,6.637360491071429
2025-02-18,Hazelrigg,5.0478515625
2025-02-18,Wytham,6.720703125
2025-02-19,Ainsdale,12.449274553571428
2025-02-19,Hazelrigg,12.199951171875
2025-02-19,Wytham,11.607421875
2025-02-20,Ainsdale,13.549051339285715
2025-02-20,Hazelrigg,13.3193359375
2025-02-20,Wytham,12.7490234375
2025-02-21,Ainsdale,14.212527901785714
2025-02-21,Hazelrigg,14.4423828125
2025-02-21,Wytham,14.2275390625
2025-02-22,Ainsdale,11.838755580357143
2025-02-22,Hazelrigg,11.297119140625
2025-02-22,Wytham,13.3798828125
2025-02-23,Ainsdale,11.182756696428571
2025-02-23,Hazelrigg,10.443603515625
2025-02-23,Wytham,10.6572265625
2025-02-24,Ainsdale,11.577427455357142
2025-02-24,Hazelrigg,10.703857421875
2025-02-24,Wytham,12.7109375
2025-02-25,Ainsdale,9.712779017857143
2025-02-25,Hazelrigg,7.920654296875
2025-02-25,Wytham,10.4345703125
2025-02-26,Ainsdale,9.066322544642857
2025-02-26,Hazelrigg,7.875732421875
2025-02-26,Wytham,8.7041015625
2025-02-27,Ainsdale,8.946149553571429
2025-02-27,Hazelrigg,8.390625
2025-02-27,Wytham,8.404296875
2025-02-28,Ainsdale,9.632756696428572
2025-02-28,Hazelrigg,8.25146484375
2025-02-28,Wytham,7.6201171875
2025-03-01,Ainsdale,9.693610491071428
2025-03-01,Hazelrigg,8.833251953125
2025-03-01,Wytham,9.611328125
2025-03-02,Ainsdale,9.237165178571429
2025-03-02,Hazelrigg,8.2314453125
2025-03-02,Wytham,10.2705078125
2025-03-03,Ainsdale,10.51015625
2025-03-03,Hazelrigg,8.194091796875
2025-03-03,Wytham,11.2255859375
2025-03-04,Ainsdale,9.637416294642858
2025-03-04,Hazelrigg,8.163818359375
2025-03-04,Wytham,12.7978515625
2025-03-05,Ainsdale,11.796512276785714
2025-03-05,Hazelrigg,11.232177734375
2025-03-05,Wytham,13.9736328125
2025-03-06,Ainsdale,16.250837053571427
