date,site,rainfall,tasmax,tasmin
30/01/2025,Ainsdale,5.33250558,7.58671875,1.430440848
30/01/2025,Hazelrigg,2.718505859,6.603515625,0.385498047
30/01/2025,Wytham,5.923828125,7.129882813,0.083984375
31/01/2025,Ainsdale,0.025613839,7.902092634,2.680022321
31/01/2025,Hazelrigg,0.001708984,7.503173828,2.370361328
31/01/2025,Wytham,0.120117188,8.034179688,1.373046875
01/02/2025,Ainsdale,0.023660714,7.668052455,2.976506696
01/02/2025,Hazelrigg,0,7.008300781,3.391845703
01/02/2025,Wytham,0,5.23046875,4.762695313
02/02/2025,Ainsdale,0.326981027,7.561049107,4.587779018
02/02/2025,Hazelrigg,1.116699219,6.622558594,3.361328125
02/02/2025,Wytham,9.77E-04,7.919921875,0.829101563
03/02/2025,Ainsdale,0.060295759,10.90078125,4.963532366
03/02/2025,Hazelrigg,0.203857422,9.646240234,4.408935547
03/02/2025,Wytham,0.170898438,8.3671875,0.302734375
04/02/2025,Ainsdale,1.171958705,10.10418527,6.108482143
04/02/2025,Hazelrigg,6.922607422,8.468994141,5.899169922
04/02/2025,Wytham,0.916015625,10.35644531,3.977539063
05/02/2025,Ainsdale,0.167103795,8.26766183,5.280831473
05/02/2025,Hazelrigg,0.200927734,8.033203125,3.8359375
05/02/2025,Wytham,0.0078125,8.548828125,0.904296875
06/02/2025,Ainsdale,0.196958705,8.338253348,-1.52625558
06/02/2025,Hazelrigg,0.002197266,8.3359375,-1.620849609
06/02/2025,Wytham,0.208007813,6.217773438,0.065429688
07/02/2025,Ainsdale,0.173939732,6.413504464,-0.770424107
07/02/2025,Hazelrigg,0.00390625,5.653320313,0.737304688
07/02/2025,Wytham,3.0703125,3.352539063,0.565429688
08/02/2025,Ainsdale,0.750920759,5.829799107,2.268387277
08/02/2025,Hazelrigg,0.004638672,6.01953125,1.882568359
08/02/2025,Wytham,1.21875,4.224609375,1.069335938
09/02/2025,Ainsdale,0.010909598,7.437918527,3.154520089
09/02/2025,Hazelrigg,4.88E-04,6.943603516,2.851806641
09/02/2025,Wytham,14.05273438,6.120117188,0.366210938
10/02/2025,Ainsdale,0.377566964,5.891685268,4.163839286
10/02/2025,Hazelrigg,0.104492188,4.946533203,2.691650391
10/02/2025,Wytham,0.952148438,3.233398438,1.331054688
11/02/2025,Ainsdale,0.137667411,5.674358259,3.794112723
11/02/2025,Hazelrigg,0.003173828,5.53515625,3.029296875
11/02/2025,Wytham,0.006835938,3.956054688,2.293945313
12/02/2025,Ainsdale,0.024302455,6.238560268,2.900502232
12/02/2025,Hazelrigg,0.001220703,5.556396484,3.021484375
12/02/2025,Wytham,0.00390625,4.3203125,2.493164063
13/02/2025,Ainsdale,0.003097098,4.526143973,2.485574777
13/02/2025,Hazelrigg,0,4.568847656,1.993408203
13/02/2025,Wytham,0,3.439453125,2.110351563
14/02/2025,Ainsdale,0.23203125,5.253125,1.092578125
14/02/2025,Hazelrigg,0.374267578,4.811767578,-0.094482422
14/02/2025,Wytham,0.108398438,4.971679688,1.09375
15/02/2025,Ainsdale,0.648214286,4.851729911,2.57843192
15/02/2025,Hazelrigg,0.102294922,3.625,1.377441406
15/02/2025,Wytham,5.103515625,4.866210938,1.877929688
16/02/2025,Ainsdale,0,5.416908482,3.037639509
16/02/2025,Hazelrigg,0,5.156738281,1.673339844
16/02/2025,Wytham,9.77E-04,3.549804688,1.05859375
17/02/2025,Ainsdale,0.076981027,5.621512277,1.769559152
17/02/2025,Hazelrigg,0,4.678955078,0.270019531
17/02/2025,Wytham,0.055664063,5.491210938,-3.184570313
18/02/2025,Ainsdale,0,6.637360491,1.02078683
18/02/2025,Hazelrigg,0,5.047851563,-0.043212891
18/02/2025,Wytham,0,6.720703125,-1.674804688
19/02/2025,Ainsdale,4.836941964,12.44927455,2.462639509
19/02/2025,Hazelrigg,6.326171875,12.19995117,1.586181641
19/02/2025,Wytham,1.734375,11.60742188,-1.162109375
20/02/2025,Ainsdale,5.466155134,13.54905134,3.651925223
20/02/2025,Hazelrigg,4.707275391,13.31933594,2.843017578
20/02/2025,Wytham,1.729492188,12.74902344,2.29296875
21/02/2025,Ainsdale,0.614397321,14.2125279,8.90594308
21/02/2025,Hazelrigg,1.991455078,14.44238281,9.260986328
21/02/2025,Wytham,1.24609375,14.22753906,11.04394531
22/02/2025,Ainsdale,0.079492188,11.83875558,6.178125
22/02/2025,Hazelrigg,0.101074219,11.29711914,6.524658203
22/02/2025,Wytham,0.017578125,13.37988281,7.526367188
23/02/2025,Ainsdale,6.161523438,11.1827567,6.559765625
23/02/2025,Hazelrigg,11.9909668,10.44360352,6.477294922
23/02/2025,Wytham,13.76269531,10.65722656,4.57421875
24/02/2025,Ainsdale,1.882561384,11.57742746,8.467438616
24/02/2025,Hazelrigg,2.734863281,10.70385742,8.017089844
24/02/2025,Wytham,0.1171875,12.7109375,8.750976563
25/02/2025,Ainsdale,2.962276786,9.712779018,4.707952009
25/02/2025,Hazelrigg,3.964599609,7.920654297,4.163085938
25/02/2025,Wytham,6.139648438,10.43457031,5.377929688
26/02/2025,Ainsdale,4.435239955,9.066322545,3.794391741
26/02/2025,Hazelrigg,3.258789063,7.875732422,2.573974609
26/02/2025,Wytham,7.711914063,8.704101563,2.10546875
27/02/2025,Ainsdale,0.03953683,8.946149554,3.039564732
27/02/2025,Hazelrigg,0.1015625,8.390625,1.064697266
27/02/2025,Wytham,0.002929688,8.404296875,3.256835938
28/02/2025,Ainsdale,0.158370536,9.632756696,-0.303655134
28/02/2025,Hazelrigg,0.078857422,8.251464844,0.130371094
28/02/2025,Wytham,0.00390625,7.620117188,-1.407226563
01/03/2025,Ainsdale,8.09E-04,9.693610491,-0.165569196
01/03/2025,Hazelrigg,0,8.833251953,1.527099609
01/03/2025,Wytham,0.05078125,9.611328125,-3.258789063
02/03/2025,Ainsdale,0.019893973,9.237165179,3.046875
02/03/2025,Hazelrigg,0,8.231445313,4.197753906
02/03/2025,Wytham,9.77E-04,10.27050781,-3.212890625
03/03/2025,Ainsdale,0.032952009,10.51015625,5.435574777
03/03/2025,Hazelrigg,0.791015625,8.194091797,5.318115234
03/03/2025,Wytham,9.77E-04,11.22558594,-4.446289063
04/03/2025,Ainsdale,0,9.637416295,2.757282366
04/03/2025,Hazelrigg,0,8.163818359,4.290527344
04/03/2025,Wytham,9.77E-04,12.79785156,-2.342773438
05/03/2025,Ainsdale,3.63E-04,11.79651228,4.12859933
05/03/2025,Hazelrigg,0,11.23217773,3.543945313
05/03/2025,Wytham,0.00390625,13.97363281,0.176757813
06/03/2025,Ainsdale,3.689564732,16.25083705,4.019587054
06/03/2025,Hazelrigg,1.505859375,15.87646484,5.085205078
06/03/2025,Wytham,0,16.44824219,2.779296875
07/03/2025,Ainsdale,0.037890625,13.96905692,8.630022321
07/03/2025,Hazelrigg,0.399169922,13.73706055,9.270751953
07/03/2025,Wytham,0,14.70117188,7.100585938
08/03/2025,Ainsdale,0.005245536,17.81110491,9.300446429
08/03/2025,Hazelrigg,0,16.77294922,9.32421875
08/03/2025,Wytham,0,15.90722656,4.704101563
09/03/2025,Ainsdale,0,17.53786272,5.227985491
09/03/2025,Hazelrigg,0,17.31176758,7.063720703
09/03/2025,Wytham,0.12109375,17.84960938,4.397460938
10/03/2025,Ainsdale,0.008147321,14.14321987,3.21171875
10/03/2025,Hazelrigg,2.44E-04,12.06054688,4.610595703
10/03/2025,Wytham,0.515625,9.85546875,6.532226563
11/03/2025,Ainsdale,0.350892857,8.054743304,1.167438616
11/03/2025,Hazelrigg,0,7.164794922,0.260009766
11/03/2025,Wytham,0.010742188,8.224609375,4.098632813
12/03/2025,Ainsdale,0.41280692,9.192103795,1.131612723
12/03/2025,Hazelrigg,0.413085938,8.055664063,0.439208984
12/03/2025,Wytham,0.212890625,7.541992188,0.852539063
13/03/2025,Ainsdale,0.004966518,8.356501116,1.402260045
13/03/2025,Hazelrigg,0,8.256835938,1.062744141
13/03/2025,Wytham,0.084960938,7.524414063,0.653320313
14/03/2025,Ainsdale,0.145145089,9.963643973,2.345591518
14/03/2025,Hazelrigg,0.008300781,9.744873047,2.003173828
14/03/2025,Wytham,0.012695313,7.6953125,-1.98046875
15/03/2025,Ainsdale,0.002594866,8.834626116,-1.585491071
15/03/2025,Hazelrigg,0,10.01049805,-1.1015625
15/03/2025,Wytham,0.095703125,8.490234375,-0.34375
16/03/2025,Ainsdale,0,10.2202567,-0.580664063
16/03/2025,Hazelrigg,0,10.03637695,0.967041016
16/03/2025,Wytham,0.271484375,7.409179688,-2.969726563
17/03/2025,Ainsdale,0,8.02890625,4.791266741
17/03/2025,Hazelrigg,0,7.584228516,3.487792969
17/03/2025,Wytham,0,6.724609375,2.880859375
18/03/2025,Ainsdale,0,12.29271763,1.929547991
18/03/2025,Hazelrigg,0,11.23901367,0.467773438
18/03/2025,Wytham,0,11.45996094,0.216796875
19/03/2025,Ainsdale,0.006863839,13.40513393,-1.087695313
19/03/2025,Hazelrigg,0,13.42382813,0.791259766
19/03/2025,Wytham,0.124023438,16.08203125,-1.543945313
20/03/2025,Ainsdale,0.001702009,17.25970982,1.204129464
20/03/2025,Hazelrigg,0,17.93798828,1.887207031
20/03/2025,Wytham,0,19.23339844,4.771484375
21/03/2025,Ainsdale,0.234654018,16.42357701,9.698660714
21/03/2025,Hazelrigg,1.411132813,14.89038086,8.786865234
21/03/2025,Wytham,0.381835938,16.90136719,8.649414063
22/03/2025,Ainsdale,10.97801339,17.18780692,10.02516741
22/03/2025,Hazelrigg,14.10449219,16.94604492,9.174072266
22/03/2025,Wytham,0.088867188,15.36035156,8.865234375
23/03/2025,Ainsdale,0.52391183,11.93869978,8.742773438
23/03/2025,Hazelrigg,0.102783203,12.54150391,7.892578125
23/03/2025,Wytham,0.924804688,12.82128906,5.703125
24/03/2025,Ainsdale,0.438811384,11.10039063,1.151367188
24/03/2025,Hazelrigg,0.001953125,10.42260742,1.674316406
24/03/2025,Wytham,0.00390625,13.140625,6.469726563
25/03/2025,Ainsdale,0.017159598,11.50753348,5.960714286
25/03/2025,Hazelrigg,2.44E-04,12.13476563,4.677978516
25/03/2025,Wytham,0.006835938,14.58496094,4.098632813
26/03/2025,Ainsdale,7.81E-04,12.73412388,4.630970982
26/03/2025,Hazelrigg,0,11.5534668,4.884033203
26/03/2025,Wytham,0,16.3125,4.399414063
27/03/2025,Ainsdale,2.099832589,14.57779018,6.414732143
27/03/2025,Hazelrigg,3.284912109,14.23828125,7.392089844
27/03/2025,Wytham,0.033203125,12.92578125,2.846679688
28/03/2025,Ainsdale,0.012751116,10.59670759,7.884877232
28/03/2025,Hazelrigg,0.208984375,9.309814453,6.568359375
28/03/2025,Wytham,0.001953125,13.10351563,7.984375
29/03/2025,Ainsdale,0.593582589,11.10733817,6.21124442
29/03/2025,Hazelrigg,4.781005859,9.966064453,4.824707031
29/03/2025,Wytham,0,12.99121094,1.331054688
30/03/2025,Ainsdale,0.001646205,12.0891183,8.061662946
30/03/2025,Hazelrigg,0,11.77075195,7.546142578
30/03/2025,Wytham,0,15.84082031,6.427734375
31/03/2025,Ainsdale,0.00343192,16.03811384,5.40125558
31/03/2025,Hazelrigg,0,14.27246094,3.914550781
31/03/2025,Wytham,0,16.29296875,1.51171875
01/04/2025,Ainsdale,0.003097098,16.09277344,6.477260045
01/04/2025,Hazelrigg,0,15.46337891,6.293212891
01/04/2025,Wytham,9.77E-04,14.36914063,1.87890625
02/04/2025,Ainsdale,0,16.48005022,4.750558036
02/04/2025,Hazelrigg,0,15.54785156,4.349365234
02/04/2025,Wytham,0,16.31054688,2.876953125
03/04/2025,Ainsdale,0,18.03992746,6.564927455
03/04/2025,Hazelrigg,0,17.50146484,5.266357422
03/04/2025,Wytham,9.77E-04,18.23242188,6.01171875
04/04/2025,Ainsdale,0,18.47748326,9.284598214
04/04/2025,Hazelrigg,0,18.2824707,8.594726563
04/04/2025,Wytham,0,21.1171875,7.330078125
05/04/2025,Ainsdale,0,15.68208705,3.333398438
05/04/2025,Hazelrigg,0,14.28491211,4.393066406
05/04/2025,Wytham,0,17.375,4.234375
06/04/2025,Ainsdale,0,16.05683594,4.062695313
06/04/2025,Hazelrigg,0,15.29882813,4.27734375
06/04/2025,Wytham,0,15.90429688,3.850585938
07/04/2025,Ainsdale,0,14.81883371,3.224246652
07/04/2025,Hazelrigg,0,15.35742188,1.3515625
07/04/2025,Wytham,0,14.875,1.020507813
08/04/2025,Ainsdale,0,15.21919643,3.735909598
08/04/2025,Hazelrigg,0,15.37280273,2.110107422
08/04/2025,Wytham,0,14.98144531,0.965820313
09/04/2025,Ainsdale,0,14.69148996,3.185491071
09/04/2025,Hazelrigg,0,13.15380859,3.633056641
09/04/2025,Wytham,0,14.42089844,1.333984375
10/04/2025,Ainsdale,3.35E-04,12.92229353,1.889481027
10/04/2025,Hazelrigg,0,11.77832031,1.743164063
10/04/2025,Wytham,0,15.7890625,1.681640625
11/04/2025,Ainsdale,0,15.82020089,3.426367188
11/04/2025,Hazelrigg,0.001953125,16.46386719,4.620849609
11/04/2025,Wytham,0,21.00585938,2.95703125
12/04/2025,Ainsdale,0.573716518,18.5125558,5.004101563
12/04/2025,Hazelrigg,0.405517578,18.76708984,4.141601563
12/04/2025,Wytham,0,21.40527344,4.869140625
13/04/2025,Ainsdale,2.79E-05,11.79673549,9.012946429
13/04/2025,Hazelrigg,2.44E-04,10.60107422,7.118896484
13/04/2025,Wytham,0.067382813,14.21386719,7.604492188
14/04/2025,Ainsdale,4.959040179,13.8233817,6.229073661
14/04/2025,Hazelrigg,3.458984375,13.16137695,4.733154297
14/04/2025,Wytham,1.276367188,13.25097656,3.380859375
15/04/2025,Ainsdale,1.402957589,11.47700893,8.639787946
15/04/2025,Hazelrigg,0.415039063,11.48999023,6.931152344
15/04/2025,Wytham,0.390625,14.11035156,7.36328125
16/04/2025,Ainsdale,3.299386161,9.676925223,7.899079241
16/04/2025,Hazelrigg,4.054931641,9.133300781,7.041503906
16/04/2025,Wytham,0.197265625,14.41503906,6.33203125
17/04/2025,Ainsdale,0.093833705,12.96054688,6.946819196
17/04/2025,Hazelrigg,0.183105469,12.38134766,6.070556641
17/04/2025,Wytham,9.77E-04,14.97460938,1.135742188
18/04/2025,Ainsdale,1.508175223,12.66210938,7.694308036
18/04/2025,Hazelrigg,4.538330078,12.91748047,6.586181641
18/04/2025,Wytham,0.709960938,14.27929688,4.916015625
19/04/2025,Ainsdale,0.001897321,13.82544643,9.693470982
19/04/2025,Hazelrigg,0,13.63623047,8.451171875
19/04/2025,Wytham,0.005859375,16.29296875,9.993164063
20/04/2025,Ainsdale,0.412611607,15.01542969,5.283956473
20/04/2025,Hazelrigg,0.787841797,14.96582031,4.686279297
20/04/2025,Wytham,0.377929688,15.00683594,5.079101563
21/04/2025,Ainsdale,1.573800223,13.46810826,8.871819196
21/04/2025,Hazelrigg,2.399169922,12.55810547,7.448730469
21/04/2025,Wytham,0.6328125,15.19433594,8.903320313
22/04/2025,Ainsdale,3.933258929,15.21018415,7.202762277
22/04/2025,Hazelrigg,0.114257813,14.71777344,5.176025391
22/04/2025,Wytham,18.38574219,14.65625,4.834960938
23/04/2025,Ainsdale,0.002176339,16.53934152,9.222321429
23/04/2025,Hazelrigg,0,15.96630859,7.385253906
23/04/2025,Wytham,0.100585938,13.84960938,6.9140625
24/04/2025,Ainsdale,0,15.89257813,5.44344308
24/04/2025,Hazelrigg,0.004150391,15.81811523,5.392578125
24/04/2025,Wytham,9.77E-04,14.22363281,8.016601563
25/04/2025,Ainsdale,0.006222098,15.63565848,6.496930804
25/04/2025,Hazelrigg,0,14.75561523,5.727050781
25/04/2025,Wytham,0,14.71191406,2.657226563
26/04/2025,Ainsdale,0.001227679,15.39559152,10.16074219
26/04/2025,Hazelrigg,0.002685547,15.13891602,8.73828125
26/04/2025,Wytham,0,15.93652344,6.557617188
27/04/2025,Ainsdale,0,16.73914621,7.884179688
27/04/2025,Hazelrigg,0,16.00610352,7.437011719
27/04/2025,Wytham,0,19.94921875,6.66015625
28/04/2025,Ainsdale,0,18.22996652,9.642382813
28/04/2025,Hazelrigg,0,18.1862793,9.227050781
28/04/2025,Wytham,0,21.84667969,6.907226563
29/04/2025,Ainsdale,0,22.75061384,9.494168527
29/04/2025,Hazelrigg,0,22.32910156,10.15185547
29/04/2025,Wytham,0,22.58203125,7.447265625
30/04/2025,Ainsdale,0,23.50069754,9.324888393
30/04/2025,Hazelrigg,0,22.94140625,8.918457031
30/04/2025,Wytham,0,24.50683594,6.671875
01/05/2025,Ainsdale,0.00125558,20.48708147,8.891183036
01/05/2025,Hazelrigg,0,20.29638672,9.648193359
01/05/2025,Wytham,0,26.88671875,8.379882813
02/05/2025,Ainsdale,2.79E-05,14.53694196,8.689006696
02/05/2025,Hazelrigg,0.019287109,15.91577148,6.673828125
02/05/2025,Wytham,0,21.50292969,11.78027344
03/05/2025,Ainsdale,0.072739955,15.11944754,8.218666295
03/05/2025,Hazelrigg,0.023925781,16.24633789,5.765136719
03/05/2025,Wytham,0,17.27050781,8.046875
04/05/2025,Ainsdale,0,14.12307478,7.863197545
04/05/2025,Hazelrigg,9.77E-04,12.44042969,6.671630859
04/05/2025,Wytham,0.001953125,12.77929688,4.099609375
05/05/2025,Ainsdale,0,13.91665737,2.636607143
05/05/2025,Hazelrigg,0,13.61572266,3.069091797
05/05/2025,Wytham,0,13.20800781,2.859375
06/05/2025,Ainsdale,0,14.57374442,1.652929688
06/05/2025,Hazelrigg,0,14.03857422,1.278320313
06/05/2025,Wytham,0,14.72363281,1.940429688
07/05/2025,Ainsdale,0,15.08624442,7.263504464
07/05/2025,Hazelrigg,0,14.94116211,6.203369141
07/05/2025,Wytham,0,17.37304688,2.235351563
08/05/2025,Ainsdale,0,15.55828683,5.005022321
08/05/2025,Hazelrigg,0,15.1796875,4.786621094
08/05/2025,Wytham,0,14.03320313,6.44921875
09/05/2025,Ainsdale,0,18.34907924,3.387611607
09/05/2025,Hazelrigg,0,17.16186523,3.978027344
09/05/2025,Wytham,0,18.59570313,2.359375
10/05/2025,Ainsdale,0,21.40957031,7.942410714
10/05/2025,Hazelrigg,0,21.62182617,9.333007813
10/05/2025,Wytham,0,21.07128906,5.0234375
11/05/2025,Ainsdale,0.127120536,22.9921875,10.03178013
11/05/2025,Hazelrigg,0,23.05053711,10.70996094
11/05/2025,Wytham,2.587890625,23.6640625,6.622070313
12/05/2025,Ainsdale,0.455245536,24.37530692,10.66676897
12/05/2025,Hazelrigg,0,24.82446289,13.35351563
12/05/2025,Wytham,2.081054688,22.16015625,11.67871094
13/05/2025,Ainsdale,0,23.24020647,12.13270089
13/05/2025,Hazelrigg,0,22.48193359,12.85302734
13/05/2025,Wytham,9.77E-04,23.4765625,9.491210938
14/05/2025,Ainsdale,0,19.91609933,7.032142857
14/05/2025,Hazelrigg,0,19.30493164,7.439208984
14/05/2025,Wytham,0,21.07519531,6.463867188
15/05/2025,Ainsdale,0,18.17128906,5.203180804
15/05/2025,Hazelrigg,0,19.06982422,5.598632813
15/05/2025,Wytham,0,14.50585938,6.5078125
16/05/2025,Ainsdale,0,18.81967076,5.064955357
16/05/2025,Hazelrigg,0,21.60791016,5.107910156
16/05/2025,Wytham,0,20.45507813,6.103515625
17/05/2025,Ainsdale,0,18.31283482,5.826339286
17/05/2025,Hazelrigg,0,19.73193359,6.227294922
17/05/2025,Wytham,0,16.46777344,8.788085938
18/05/2025,Ainsdale,0,19.06794085,5.580496652
18/05/2025,Hazelrigg,0,20.10791016,5.533447266
18/05/2025,Wytham,0,16.73828125,7.137695313
19/05/2025,Ainsdale,0.002092634,17.79481027,6.852706473
19/05/2025,Hazelrigg,9.77E-04,18.28759766,7.758544922
19/05/2025,Wytham,0,18.83789063,7.401367188
20/05/2025,Ainsdale,0.024386161,18.77061942,9.189564732
20/05/2025,Hazelrigg,0,18.35986328,6.057128906
20/05/2025,Wytham,0.618164063,21.00488281,5.806640625
21/05/2025,Ainsdale,0.0015625,18.31752232,10.69746094
21/05/2025,Hazelrigg,0,20.18115234,7.635009766
21/05/2025,Wytham,2.696289063,19.90917969,11.49707031
22/05/2025,Ainsdale,0,16.70831473,9.853376116
22/05/2025,Hazelrigg,0,15.85424805,8.31640625
22/05/2025,Wytham,0,15.61425781,4.90625
23/05/2025,Ainsdale,10.06824777,17.83936942,3.909793527
23/05/2025,Hazelrigg,14.56298828,17.3359375,4.487060547
23/05/2025,Wytham,5.022460938,20.64160156,3.014648438
24/05/2025,Ainsdale,1.254547991,19.35175781,12.6625279
24/05/2025,Hazelrigg,5.894775391,17.38500977,11.57788086
24/05/2025,Wytham,0.52734375,19.0625,11.85351563
25/05/2025,Ainsdale,0.397907366,16.78314732,12.57753906
25/05/2025,Hazelrigg,1.655517578,14.91699219,11.19262695
25/05/2025,Wytham,9.77E-04,18.64257813,12.39355469
26/05/2025,Ainsdale,13.42176339,15.07625558,11.12273996
26/05/2025,Hazelrigg,21.0847168,13.61010742,9.493408203
26/05/2025,Wytham,3.087890625,17.00292969,8.842773438
27/05/2025,Ainsdale,6.985770089,14.1578404,11.72522321
27/05/2025,Hazelrigg,2.411376953,12.70336914,10.12109375
27/05/2025,Wytham,4.784179688,16.36132813,11.46972656
28/05/2025,Ainsdale,7.371177455,16.63317522,10.40231585
28/05/2025,Hazelrigg,14.26660156,15.30322266,8.129638672
28/05/2025,Wytham,0.633789063,20.58398438,12.19238281
29/05/2025,Ainsdale,0.884235491,17.18803013,12.46545759
29/05/2025,Hazelrigg,6.0703125,15.62915039,10.84155273
29/05/2025,Wytham,9.77E-04,23.40820313,11.64453125
30/05/2025,Ainsdale,0.003878348,19.52165179,15.12201451
30/05/2025,Hazelrigg,0.332763672,18.08325195,13.23535156
30/05/2025,Wytham,0,23.2890625,11.93847656
31/05/2025,Ainsdale,0.01219308,19.31417411,12.83018973
31/05/2025,Hazelrigg,0.002197266,18.05102539,11.50683594
31/05/2025,Wytham,0,23.38574219,12.76855469
01/06/2025,Ainsdale,0.482728795,17.0000279,12.51152344
01/06/2025,Hazelrigg,0.922363281,15.37988281,10.46362305
01/06/2025,Wytham,0.00390625,19.46777344,10.63964844
02/06/2025,Ainsdale,7.169308036,16.76741071,11.4686942
