date,site,rainfall
2025-02-14,Wytham,0.1083984375
2025-02-15,Ainsdale,0.6482142857142857
2025-02-15,Hazelrigg,0.102294921875
2025-02-15,Wytham,5.103515625
2025-02-16,Ainsdale,0
2025-02-16,Hazelrigg,0
2025-02-16,Wytham,9.765625e-4
2025-02-17,Ainsdale,0.07698102678571428
2025-02-17,Hazelrigg,0
2025-02-17,Wytham,0.0556640625
2025-02-18,Ainsdale,0
2025-02-18,Hazelrigg,0
2025-02-18,Wytham,0
2025-02-19,Ainsdale,4.836941964285714
2025-02-19,Hazelrigg,6.326171875
2025-02-19,Wytham,1.734375
2025-02-20,Ainsdale,5.466155133928572
2025-02-20,Hazelrigg,4.707275390625
2025-02-20,Wytham,1.7294921875
2025-02-21,Ainsdale,0.6143973214285715
2025-02-21,Hazelrigg,1.991455078125
2025-02-21,Wytham,1.24609375
2025-02-22,Ainsdale,0.07949218750000002
2025-02-22,Hazelrigg,0.10107421875
2025-02-22,Wytham,0.017578125
2025-02-23,Ainsdale,6.1615234375
2025-02-23,Hazelrigg,11.990966796875
2025-02-23,Wytham,13.7626953125
2025-02-24,Ainsdale,1.8825613839285715
2025-02-24,Hazelrigg,2.73486328125
2025-02-24,Wytham,0.1171875
2025-02-25,Ainsdale,2.9622767857142858
2025-02-25,Hazelrigg,3.964599609375
2025-02-25,Wytham,6.1396484375
2025-02-26,Ainsdale,4.435239955357143
2025-02-26,Hazelrigg,3.2587890625
2025-02-26,Wytham,7.7119140625
2025-02-27,Ainsdale,0.03953683035714286
2025-02-27,Hazelrigg,0.1015625
2025-02-27,Wytham,0.0029296875
2025-02-28,Ainsdale,0.15837053571428572
2025-02-28,Hazelrigg,0.078857421875
2025-02-28,Wytham,0.00390625
2025-03-01,Ainsdale,8.091517857142857e-4
2025-03-01,Hazelrigg,0
2025-03-01,Wytham,0.05078125
2025-03-02,Ainsdale,0.019893973214285716
2025-03-02,Hazelrigg,0
2025-03-02,Wytham,9.765625e-4
2025-03-03,Ainsdale,0.032952008928571426
2025-03-03,Hazelrigg,0.791015625
2025-03-03,Wytham,9.765625e-4
2025-03-04,Ainsdale,0
2025-03-04,Hazelrigg,0
2025-03-04,Wytham,9.765625e-4
2025-03-05,Ainsdale,3.627232142857141e-4
2025-03-05,Hazelrigg,0
2025-03-05,Wytham,0.00390625
2025-03-06,Ainsdale,3.6895647321428573
2025-03-06,Hazelrigg,1.505859375
2025-03-06,Wytham,0
2025-03-07,Ainsdale,0.037890625
2025-03-07,Hazelrigg,0.399169921875
2025-03-07,Wytham,0
2025-03-08,Ainsdale,0.005245535714285715
2025-03-08,Hazelrigg,0
2025-03-08,Wytham,0
2025-03-09,Ainsdale,0
2025-03-09,Hazelrigg,0
2025-03-09,Wytham,0.12109375
2025-03-10,Ainsdale,0.008147321428571429
2025-03-10,Hazelrigg,2.44140625e-4
2025-03-10,Wytham,0.515625
2025-03-11,Ainsdale,0.3508928571428571
2025-03-11,Hazelrigg,0
2025-03-11,Wytham,0.0107421875
2025-03-12,Ainsdale,0.41280691964285715
2025-03-12,Hazelrigg,0.4130859375
2025-03-12,Wytham,0.212890625
2025-03-13,Ainsdale,0.004966517857142857
2025-03-13,Hazelrigg,0
2025-03-13,Wytham,0.0849609375
2025-03-14,Ainsdale,0.1451450892857143
2025-03-14,Hazelrigg,0.00830078125
2025-03-14,Wytham,0.0126953125
2025-03-15,Ainsdale,0.0025948660714285713
2025-03-15,Hazelrigg,0
2025-03-15,Wytham,0.095703125
2025-03-16,Ainsdale,0
2025-03-16,Hazelrigg,0
2025-03-16,Wytham,0.271484375
2025-03-17,Ainsdale,0
2025-03-17,Hazelrigg,0
2025-03-17,Wytham,0
2025-03-18,Ainsdale,0
2025-03-18,Hazelrigg,0
2025-03-18,Wytham,0
2025-03-19,Ainsdale,0.006863839285714286
2025-03-19,Hazelrigg,0
2025-03-19,Wytham,0.1240234375
2025-03-20,Ainsdale,0.0017020089285714286
2025-03-20,Hazelrigg,0
2025-03-20,Wytham,0
2025-03-21,Ainsdale,0.2346540178571429
2025-03-21,Hazelrigg,1.4111328125
2025-03-21,Wytham,0.3818359375
2025-03-22,Ainsdale,10.978013392857143
2025-03-22,Hazelrigg,14.1044921875
2025-03-22,Wytham,0.0888671875
2025-03-23,Ainsdale,0.5239118303571427
2025-03-23,Hazelrigg,0.102783203125
2025-03-23,Wytham,0.9248046875
2025-03-24,Ainsdale,0.43881138392857144
2025-03-24,Hazelrigg,0.001953125
2025-03-24,Wytham,0.00390625
2025-03-25,Ainsdale,0.017159598214285716
2025-03-25,Hazelrigg,2.44140625e-4
2025-03-25,Wytham,0.0068359375
2025-03-26,Ainsdale,7.812500000000002e-4
2025-03-26,Hazelrigg,0
2025-03-26,Wytham,0
2025-03-27,Ainsdale,2.099832589285714
2025-03-27,Hazelrigg,3.284912109375
2025-03-27,Wytham,0.033203125
2025-03-28,Ainsdale,0.012751116071428571
2025-03-28,Hazelrigg,0.208984375
2025-03-28,Wytham,0.001953125
2025-03-29,Ainsdale,0.5935825892857143
2025-03-29,Hazelrigg,4.781005859375
2025-03-29,Wytham,0
2025-03-30,Ainsdale,0.0016462053571428571
2025-03-30,Hazelrigg,0
2025-03-30,Wytham,0
2025-03-31,Ainsdale,0.003431919642857143
2025-03-31,Hazelrigg,0
2025-03-31,Wytham,0
2025-04-01,Ainsdale,0.0030970982142857146
2025-04-01,Hazelrigg,0
2025-04-01,Wytham,9.765625e-4
2025-04-02,Ainsdale,0
2025-04-02,Hazelrigg,0
2025-04-02,Wytham,0
2025-04-03,Ainsdale,0
2025-04-03,Hazelrigg,0
2025-04-03,Wytham,9.765625e-4
2025-04-04,Ainsdale,0
2025-04-04,Hazelrigg,0
2025-04-04,Wytham,0
2025-04-05,Ainsdale,0
2025-04-05,Hazelrigg,0
2025-04-05,Wytham,0
2025-04-06,Ainsdale,0
2025-04-06,Hazelrigg,0
2025-04-06,Wytham,0
2025-04-07,Ainsdale,0
2025-04-07,Hazelrigg,0
2025-04-07,Wytham,0
2025-04-08,Ainsdale,0
2025-04-08,Hazelrigg,0
2025-04-08,Wytham,0
2025-04-09,Ainsdale,0
2025-04-09,Hazelrigg,0
2025-04-09,Wytham,0
2025-04-10,Ainsdale,3.348214285714287e-4
2025-04-10,Hazelrigg,0
2025-04-10,Wytham,0
2025-04-11,Ainsdale,0
2025-04-11,Hazelrigg,0.001953125
2025-04-11,Wytham,0
2025-04-12,Ainsdale,0.5737165178571428
2025-04-12,Hazelrigg,0.405517578125
2025-04-12,Wytham,0
2025-04-13,Ainsdale,2.7901785714285707e-5
2025-04-13,Hazelrigg,2.44140625e-4
2025-04-13,Wytham,0.0673828125
2025-04-14,Ainsdale,4.959040178571429
2025-04-14,Hazelrigg,3.458984375
2025-04-14,Wytham,1.2763671875
2025-04-15,Ainsdale,1.4029575892857142
2025-04-15,Hazelrigg,0.4150390625
2025-04-15,Wytham,0.390625
2025-04-16,Ainsdale,3.299386160714286
2025-04-16,Hazelrigg,4.054931640625
2025-04-16,Wytham,0.197265625
2025-04-17,Ainsdale,0.09383370535714286
2025-04-17,Hazelrigg,0.18310546875
2025-04-17,Wytham,9.765625e-4
2025-04-18,Ainsdale,1.5081752232142858
2025-04-18,Hazelrigg,4.538330078125
2025-04-18,Wytham,0.7099609375
2025-04-19,Ainsdale,0.0018973214285714286
2025-04-19,Hazelrigg,0
2025-04-19,Wytham,0.005859375
2025-04-20,Ainsdale,0.41261160714285716
2025-04-20,Hazelrigg,0.787841796875
2025-04-20,Wytham,0.3779296875
2025-04-21,Ainsdale,1.5738002232142858
2025-04-21,Hazelrigg,2.399169921875
2025-04-21,Wytham,0.6328125
2025-04-22,Ainsdale,3.933258928571428
2025-04-22,Hazelrigg,0.1142578125
2025-04-22,Wytham,18.3857421875
2025-04-23,Ainsdale,0.0021763392857142862
2025-04-23,Hazelrigg,0
2025-04-23,Wytham,0.1005859375
2025-04-24,Ainsdale,0
2025-04-24,Hazelrigg,0.004150390625
2025-04-24,Wytham,9.765625e-4
2025-04-25,Ainsdale,0.006222098214285713
2025-04-25,Hazelrigg,0
2025-04-25,Wytham,0
2025-04-26,Ainsdale,0.0012276785714285714
2025-04-26,Hazelrigg,0.002685546875
2025-04-26,Wytham,0
2025-04-27,Ainsdale,0
2025-04-27,Hazelrigg,0
2025-04-27,Wytham,0
2025-04-28,Ainsdale,0
2025-04-28,Hazelrigg,0
2025-04-28,Wytham,0
2025-04-29,Ainsdale,0
2025-04-29,Hazelrigg,0
2025-04-29,Wytham,0
2025-04-30,Ainsdale,0
2025-04-30,Hazelrigg,0
2025-04-30,Wytham,0
2025-05-01,Ainsdale,0.0012555803571428572
2025-05-01,Hazelrigg,0
2025-05-01,Wytham,0
2025-05-02,Ainsdale,2.790178571428571e-5
2025-05-02,Hazelrigg,0.019287109375
2025-05-02,Wytham,0
2025-05-03,Ainsdale,0.07273995535714287
2025-05-03,Hazelrigg,0.02392578125
2025-05-03,Wytham,0
2025-05-04,Ainsdale,0
2025-05-04,Hazelrigg,9.765625e-4
2025-05-04,Wytham,0.001953125
2025-05-05,Ainsdale,0
2025-05-05,Hazelrigg,0
2025-05-05,Wytham,0
2025-05-06,Ainsdale,0
2025-05-06,Hazelrigg,0
2025-05-06,Wytham,0
2025-05-07,Ainsdale,0
2025-05-07,Hazelrigg,0
2025-05-07,Wytham,0
2025-05-08,Ainsdale,0
2025-05-08,Hazelrigg,0
