Site,Treatment,Block,Plot_nos,Individual_nos,Species,Date,Time_point,Survival,Height,Width_1,Width_2,Leaves,Flower,Seed,Notes_1,Notes_2
Wytham,NPK_DIST,E,NA,01,TA,07/05/2025,T2,yes,3,7,5.5,6,None,None,,
Wytham,NPK_DIST,E,NA,02,TA,07/05/2025,T2,yes,4,4,3,4,None,None,,
Wytham,NPK,E,NA,01,TA,07/05/2025,T2,yes,11,13,12,8,None,None,,
Wytham,NPK,E,NA,02,TA,07/05/2025,T2,yes,10,12.5,12,8,None,None,,
Wytham,CONT,A,NA,01,TA,03/06/2025,T3,yes,6,8,7,5,None,None,,
Wytham,CONT,A,NA,02,TA,03/06/2025,T3,yes,10,14,10,5,None,None,,
Wytham,DIST,A,NA,01,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,Dead,Dead,,
Wytham,DIST,A,NA,02,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,None,None,,
Wytham,NPK_CESS,A,NA,01,TA,03/06/2025,T3,yes,8,18,6,4,None,None,,
Wytham,NPK_CESS,A,NA,02,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,None,None,,
Wytham,NPK_DIST,A,NA,01,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,None,None,,
Wytham,NPK_DIST,A,NA,02,TA,03/06/2025,T3,yes,2,4,3,4,None,None,,
Wytham,NPK,A,NA,01,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,None,None,,
Wytham,NPK,A,NA,02,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,None,None,,
Wytham,CONT,B,NA,01,TA,03/06/2025,T3,yes,5,7,5,10,None,None,,
Wytham,CONT,B,NA,02,TA,03/06/2025,T3,yes,4,6,3,6,None,None,,
Wytham,DIST,B,NA,01,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,None,None,,
Wytham,DIST,B,NA,02,TA,03/06/2025,T3,yes,4,2,3,4,None,None,,
Wytham,NPK_CESS,B,NA,01,TA,03/06/2025,T3,yes,3.5,7,5,11,None,None,,
Wytham,NPK_CESS,B,NA,02,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,None,None,,
Wytham,NPK_DIST,B,NA,01,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,None,None,,
Wytham,NPK_DIST,B,NA,02,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,None,None,,
Wytham,NPK,B,NA,01,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,Dead,Dead,,
Wytham,NPK,B,NA,02,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,None,None,,
Wytham,CONT,C,NA,01,TA,03/06/2025,T3,yes,5,5,3,3,None,None,,
Wytham,CONT,C,NA,02,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,Dead,Dead,,
Wytham,DIST,C,NA,01,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,None,None,,
Wytham,DIST,C,NA,02,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,None,None,,
Wytham,NPK_CESS,C,NA,01,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,None,None,,
Wytham,NPK_CESS,C,NA,02,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,None,None,,
Wytham,NPK_DIST,C,NA,01,TA,03/06/2025,T3,yes,1.5,10,6,4,None,None,,
Wytham,NPK_DIST,C,NA,02,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,None,None,,
Wytham,NPK,C,NA,01,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,None,None,,
Wytham,NPK,C,NA,02,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,None,None,,
Wytham,CONT,D,NA,01,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,None,None,,
Wytham,CONT,D,NA,02,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,None,None,,
Wytham,DIST,D,NA,01,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,Dead,Dead,,
Wytham,DIST,D,NA,02,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,Dead,Dead,,
Wytham,NPK_DIST,D,NA,01,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,Dead,Dead,,
Wytham,NPK_DIST,D,NA,02,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,Dead,Dead,,
Wytham,NPK_DIST,D,NA,03,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,Dead,Dead,,
Wytham,NPK,D,NA,01,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,Dead,Dead,,
Wytham,NPK,D,NA,02,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,None,None,,
Wytham,CONT,E,NA,01,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,None,None,,
Wytham,CONT,E,NA,02,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,Dead,Dead,,
Wytham,DIST,E,NA,01,TA,03/06/2025,T3,no,Dead,Dead,Dead,Dead,Dead,Dead,,
Wytham,DIST,E,NA,02,TA,03/06/2025,T3,yes,2,12,9,6,None,None,,
Wytham,NPK_CESS,E,NA,01,TA,03/06/2025,T3,yes,10,12,7,4,None,None,,
